d, n, k, time, cilk workers
2, 10, 9, 0.000730, 12
2, 50, 9, 0.072689, 12
2, 100, 9, 0.657306, 12
2, 500, 9, 403.604271, 12
3, 10, 27, 0.022936, 12
3, 50, 27, 82.042478, 12
3, 100, 27, , 12
4, 10, 81, 0.693072, 12
4, 50, 81, , 12
50, 60000, 5, 18.683207, 12
250, 60000, 5, 22.191974, 12
500, 60000, 5, 31.388530, 12
860, 60000, 5, 49.799698, 12
1024, 60000, 5, 49.800326, 12
10,  5, 100000, 57.048428,  12
10,  5, 50000, 12.306121,  12
10,  5, 10000, 0.700003,  12
10,  5, 5000, 0.242507,  12
10,  5, 1000, 0.053550,  12
